burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3000503,24544,24576,0,-1,-1,41,15170,3927,8,0,0,0,Eom
1,3001503,24544,24576,0,-1,-1,34,14619,3642,8,0,0,0,Eom
2,3002503,24544,24576,0,-1,-1,39,13370,1466,8,0,0,0,Eom
3,3003503,24544,24576,0,-1,-1,32,15103,2601,8,0,0,0,Eom
4,3004503,24544,24576,0,-1,-1,29,15280,3967,8,0,0,0,Eom
5,3005503,24544,24576,0,-1,-1,40,14403,2682,8,0,0,0,Eom
6,3006503,24544,24576,0,-1,-1,34,13996,2708,8,0,0,0,Eom
7,3007503,24544,24576,0,-1,-1,41,15606,2750,8,0,0,0,Eom
8,3008503,24544,24576,0,-1,-1,39,13869,3319,8,0,0,0,Eom
9,3009503,24544,24576,0,-1,-1,38,13717,2392,8,0,0,0,Eom
10,3010503,24544,24576,0,-1,-1,39,14682,3721,8,0,0,0,Eom
11,3011503,24544,24576,0,-1,-1,32,13588,3499,8,0,0,0,Eom
12,3012503,24544,24576,0,-1,-1,30,14822,3292,8,0,0,0,Eom
13,3013503,24544,24576,0,-1,-1,34,14439,3239,8,0,0,0,Eom
14,3014503,24544,24576,0,-1,-1,34,15142,3551,8,0,0,0,Eom
15,3015503,24544,24576,0,-1,-1,40,13288,3006,8,0,0,0,Eom
16,3016503,24544,24576,0,-1,-1,45,14676,3065,8,0,0,0,Eom
17,3017503,24544,24576,0,-1,-1,33,13090,3203,8,0,0,0,Eom
18,3018503,24544,24576,0,-1,-1,34,13550,2535,8,0,0,0,Eom
19,3019503,24544,24576,0,-1,-1,29,14879,3346,8,0,0,0,Eom
20,3020503,24544,24576,0,-1,-1,36,15590,3611,8,0,0,0,Eom
21,3021503,24544,24576,0,-1,-1,42,14382,3769,8,0,0,0,Eom
22,3022503,24544,24576,0,-1,-1,37,14687,3309,8,0,0,0,Eom
23,3023503,24544,24576,0,-1,-1,31,14066,3037,8,0,0,0,Eom
24,3024503,24544,24576,0,-1,-1,35,14680,3208,8,0,0,0,Eom
25,3025503,24544,24576,5,2714,2720,40,14218,3045,8,0,0,0,Eom
26,3026503,24544,24576,0,-1,-1,38,13279,2983,8,0,0,0,Eom
27,3027503,24544,24576,0,-1,-1,34,14353,3903,8,0,0,0,Eom
28,3028503,24544,24576,0,-1,-1,36,15520,3599,8,0,0,0,Eom
29,3029503,24544,24576,0,-1,-1,33,14732,3535,8,0,0,0,Eom
30,3030503,24544,24576,0,-1,-1,41,15031,3857,8,0,0,0,Eom
31,3031503,24544,24576,0,-1,-1,32,13117,2288,8,0,0,0,Eom
32,3032503,24544,24576,0,-1,-1,39,14564,2197,8,0,0,0,Eom
33,3033503,24544,24576,0,-1,-1,33,16309,4288,8,0,0,0,Eom
34,3034503,24544,24576,0,-1,-1,29,13930,2547,8,0,0,0,Eom
35,3035503,24544,24576,0,-1,-1,33,13225,2476,8,0,0,0,Eom
36,3036503,24544,24576,0,-1,-1,38,14597,4002,8,0,0,0,Eom
37,3037503,24544,24576,0,-1,-1,36,14403,3102,8,0,0,0,Eom
38,3038503,24544,24576,0,-1,-1,42,14748,2879,8,0,0,0,Eom
39,3039503,24544,24576,0,-1,-1,31,15692,3557,8,0,0,0,Eom
40,3040503,24544,24576,0,-1,-1,38,13432,3037,8,0,0,0,Eom
41,3041503,24544,24576,0,-1,-1,39,14784,3909,8,0,0,0,Eom
42,3042503,24544,24576,0,-1,-1,43,16451,3742,8,0,0,0,Eom
43,3043503,24544,24576,0,-1,-1,42,14888,3821,8,0,0,0,Eom
44,3044503,24544,24576,0,-1,-1,35,15399,3519,8,0,0,0,Eom
45,3045503,24544,24576,0,-1,-1,29,13582,2552,8,0,0,0,Eom
46,3046503,24544,24576,0,-1,-1,28,14142,2559,8,0,0,0,Eom
47,3047503,24544,24576,0,-1,-1,39,14264,2934,8,0,0,0,Eom
48,3048503,24544,24576,0,-1,-1,32,15127,3655,8,0,0,0,Eom
49,3049503,24544,24576,0,-1,-1,30,14350,3113,8,0,0,0,Eom
50,3050503,24544,24576,0,-1,-1,36,13781,2840,8,0,0,0,Eom
51,3051503,24544,24576,0,-1,-1,34,15281,3775,8,0,0,0,Eom
52,3052503,24544,24576,0,-1,-1,33,13250,1789,8,0,0,0,Eom
53,3053503,24544,24576,0,-1,-1,36,14547,3976,8,0,0,0,Eom
54,3054503,24544,24576,0,-1,-1,31,12796,2614,8,0,0,0,Eom
55,3055503,24544,24576,0,-1,-1,37,14593,3660,8,0,0,0,Eom
56,3056503,24544,24576,0,-1,-1,34,13619,3372,8,0,0,0,Eom
57,3057503,24544,24576,0,-1,-1,38,13351,3114,8,0,0,0,Eom
58,3058503,24544,24576,0,-1,-1,31,14069,3161,8,0,0,0,Eom
59,3059503,24544,24576,0,-1,-1,34,14591,3450,8,0,0,0,Eom
60,3060503,24544,24576,0,-1,-1,32,13976,3013,8,0,0,0,Eom
61,3061503,24544,24576,0,-1,-1,36,15023,3654,8,0,0,0,Eom
